Site,PSMSL ID,Latitude,Longitude,Scenario,Background RSL rate (mm/yr),RSL in 2000 (cm),RSL in 2010 (cm),RSL in 2020 (cm),RSL in 2030 (cm),RSL in 2040 (cm),RSL in 2050 (cm),RSL in 2060 (cm),RSL in 2070 (cm),RSL in 2080 (cm),RSL in 2090 (cm),RSL in 2100 (cm),RSL in 2120 (cm),RSL in 2150 (cm),RSL in 2200 (cm)
SAN FRANCISCO,10,37.81,-122.47,0.3 - MED,-0.07,0,3,6,10,13,17,21,25,28,31,34,40,47,53
SAN FRANCISCO,10,37.81,-122.47,0.3 - LOW,-0.16,0,1,3,6,8,10,13,15,17,19,19,23,25,17
SAN FRANCISCO,10,37.81,-122.47,0.3 - HIGH,0.02,0,4,8,13,18,23,28,33,38,43,49,55,65,83
SAN FRANCISCO,10,37.81,-122.47,0.5 - MED,-0.07,0,3,8,12,17,22,28,33,38,43,48,56,70,92
SAN FRANCISCO,10,37.81,-122.47,0.5 - LOW,-0.16,0,2,5,9,13,17,21,26,31,36,38,46,52,57
SAN FRANCISCO,10,37.81,-122.47,0.5 - HIGH,0.02,0,4,9,15,20,26,32,38,43,49,55,68,87,123
SAN FRANCISCO,10,37.81,-122.47,1.0 - MED,-0.07,0,5,10,17,25,36,47,59,73,87,104,123,176,278
SAN FRANCISCO,10,37.81,-122.47,1.0 - LOW,-0.16,0,3,8,14,20,29,40,52,64,78,91,114,158,242
SAN FRANCISCO,10,37.81,-122.47,1.0 - HIGH,0.02,0,6,12,19,28,40,52,66,81,97,117,141,202,325
SAN FRANCISCO,10,37.81,-122.47,1.5 - MED,-0.07,0,7,13,22,34,51,69,90,114,141,174,210,318,541
SAN FRANCISCO,10,37.81,-122.47,1.5 - LOW,-0.16,0,4,9,17,27,41,58,76,98,122,147,191,286,476
SAN FRANCISCO,10,37.81,-122.47,1.5 - HIGH,0.02,0,8,15,25,38,57,77,100,127,155,191,247,370,630
SAN FRANCISCO,10,37.81,-122.47,2.0 - MED,-0.07,0,8,16,28,46,70,97,127,163,204,253,324,500,872
SAN FRANCISCO,10,37.81,-122.47,2.0 - LOW,-0.16,0,7,14,25,41,63,88,117,151,188,232,299,459,804
SAN FRANCISCO,10,37.81,-122.47,2.0 - HIGH,0.02,0,9,18,32,49,73,101,133,170,211,261,361,551,933
SAN FRANCISCO,10,37.81,-122.47,2.5 - MED,-0.07,0,8,18,32,54,83,118,158,202,252,311,433,669,1130
SAN FRANCISCO,10,37.81,-122.47,2.5 - LOW,-0.16,0,3,10,21,37,60,90,124,163,207,257,368,573,1014
SAN FRANCISCO,10,37.81,-122.47,2.5 - HIGH,0.02,0,9,20,36,57,88,125,166,215,268,334,471,725,1207
NEW YORK,12,40.7,-74.01,0.3 - MED,1.29,0,5,11,15,20,25,31,36,39,44,46,51,58,69
NEW YORK,12,40.7,-74.01,0.3 - LOW,1.2,0,2,6,10,13,15,18,19,21,21,22,27,28,26
NEW YORK,12,40.7,-74.01,0.3 - HIGH,1.38,0,7,14,21,28,36,42,49,54,60,65,75,88,110
NEW YORK,12,40.7,-74.01,0.5 - MED,1.29,0,6,13,19,25,31,39,45,50,56,61,70,85,110
NEW YORK,12,40.7,-74.01,0.5 - LOW,1.2,0,4,8,13,18,24,29,33,39,43,47,54,63,70
NEW YORK,12,40.7,-74.01,0.5 - HIGH,1.38,0,7,16,23,31,39,47,54,60,66,72,85,106,145
NEW YORK,12,40.7,-74.01,1.0 - MED,1.29,0,9,19,29,39,51,65,80,96,114,130,148,202,295
NEW YORK,12,40.7,-74.01,1.0 - LOW,1.2,0,6,12,21,29,40,52,64,78,92,106,122,167,240
NEW YORK,12,40.7,-74.01,1.0 - HIGH,1.38,0,11,23,34,47,60,76,93,111,130,150,176,238,359
NEW YORK,12,40.7,-74.01,1.5 - MED,1.29,0,12,25,39,53,71,92,114,139,167,197,247,353,567
NEW YORK,12,40.7,-74.01,1.5 - LOW,1.2,0,7,14,24,36,51,68,87,108,130,154,195,281,442
NEW YORK,12,40.7,-74.01,1.5 - HIGH,1.38,0,15,31,45,61,80,104,130,159,191,225,297,420,673
NEW YORK,12,40.7,-74.01,2.0 - MED,1.29,0,14,31,48,67,92,124,154,189,234,279,368,561,926
NEW YORK,12,40.7,-74.01,2.0 - LOW,1.2,0,13,25,43,63,85,107,134,168,205,248,334,493,826
NEW YORK,12,40.7,-74.01,2.0 - HIGH,1.38,0,17,35,53,75,100,130,166,206,250,298,405,586,958
NEW YORK,12,40.7,-74.01,2.5 - MED,1.29,0,14,29,50,76,105,144,185,230,286,342,459,695,1139
NEW YORK,12,40.7,-74.01,2.5 - LOW,1.2,0,6,14,28,45,68,97,130,170,214,262,373,574,1011
NEW YORK,12,40.7,-74.01,2.5 - HIGH,1.38,0,15,33,55,82,114,150,194,241,296,357,530,772,1237
HALIFAX,96,44.67,-63.58,0.3 - MED,1.32,0,5,11,16,20,27,32,36,40,44,47,50,58,66
HALIFAX,96,44.67,-63.58,0.3 - LOW,1.18,0,2,6,10,13,15,17,18,19,21,22,22,26,19
HALIFAX,96,44.67,-63.58,0.3 - HIGH,1.46,0,7,14,21,29,36,45,51,57,62,66,74,88,110
HALIFAX,96,44.67,-63.58,0.5 - MED,1.32,0,6,13,19,25,33,39,45,51,56,60,70,85,105
HALIFAX,96,44.67,-63.58,0.5 - LOW,1.18,0,4,8,14,18,23,28,33,37,42,45,51,60,65
HALIFAX,96,44.67,-63.58,0.5 - HIGH,1.46,0,7,16,24,32,40,49,55,62,68,74,85,106,142
HALIFAX,96,44.67,-63.58,1.0 - MED,1.32,0,8,18,28,39,52,66,81,97,114,130,149,199,285
HALIFAX,96,44.67,-63.58,1.0 - LOW,1.18,0,6,12,21,30,40,51,63,76,90,104,117,159,223
HALIFAX,96,44.67,-63.58,1.0 - HIGH,1.46,0,10,22,33,47,61,78,96,114,133,152,178,236,356
HALIFAX,96,44.67,-63.58,1.5 - MED,1.32,0,11,24,37,53,72,93,115,141,168,195,249,351,565
HALIFAX,96,44.67,-63.58,1.5 - LOW,1.18,0,6,14,24,37,51,66,84,102,126,149,187,260,400
HALIFAX,96,44.67,-63.58,1.5 - HIGH,1.46,0,13,27,42,62,82,107,134,163,193,226,299,418,677
HALIFAX,96,44.67,-63.58,2.0 - MED,1.32,0,14,29,46,70,97,128,162,197,236,278,377,550,913
HALIFAX,96,44.67,-63.58,2.0 - LOW,1.18,0,13,26,43,62,84,107,133,165,203,243,331,489,808
HALIFAX,96,44.67,-63.58,2.0 - HIGH,1.46,0,15,31,51,75,103,135,170,210,255,299,412,589,972
HALIFAX,96,44.67,-63.58,2.5 - MED,1.32,0,15,30,50,77,110,149,191,236,289,343,471,707,1154
HALIFAX,96,44.67,-63.58,2.5 - LOW,1.18,0,6,14,28,46,70,98,132,171,217,267,376,578,1031
HALIFAX,96,44.67,-63.58,2.5 - HIGH,1.46,0,16,34,57,86,120,157,202,252,304,365,537,780,1267
FERNANDINA BEACH,112,30.67,-81.47,0.3 - MED,0.53,0,4,8,13,17,22,26,30,33,37,40,45,51,61
FERNANDINA BEACH,112,30.67,-81.47,0.3 - LOW,0.41,0,1,5,7,12,14,16,19,20,23,22,27,27,26
FERNANDINA BEACH,112,30.67,-81.47,0.3 - HIGH,0.65,0,6,11,17,23,28,34,40,44,50,54,63,75,92
FERNANDINA BEACH,112,30.67,-81.47,0.5 - MED,0.53,0,5,10,16,21,27,32,38,43,49,53,62,77,102
FERNANDINA BEACH,112,30.67,-81.47,0.5 - LOW,0.41,0,3,7,11,17,21,26,31,35,40,43,50,58,65
FERNANDINA BEACH,112,30.67,-81.47,0.5 - HIGH,0.65,0,6,12,19,26,31,38,44,49,55,62,74,95,134
FERNANDINA BEACH,112,30.67,-81.47,1.0 - MED,0.53,0,8,14,23,32,43,54,68,82,98,114,135,188,284
FERNANDINA BEACH,112,30.67,-81.47,1.0 - LOW,0.41,0,4,11,17,26,35,45,58,70,84,97,120,163,240
FERNANDINA BEACH,112,30.67,-81.47,1.0 - HIGH,0.65,0,9,17,27,37,48,62,77,92,109,128,155,217,336
FERNANDINA BEACH,112,30.67,-81.47,1.5 - MED,0.53,0,10,19,32,44,60,79,101,125,153,184,224,329,543
FERNANDINA BEACH,112,30.67,-81.47,1.5 - LOW,0.41,0,5,12,20,32,46,62,81,101,125,150,197,286,460
FERNANDINA BEACH,112,30.67,-81.47,1.5 - HIGH,0.65,0,11,21,35,49,66,86,110,136,167,200,260,383,633
FERNANDINA BEACH,112,30.67,-81.47,2.0 - MED,0.53,0,12,22,38,55,78,105,137,173,213,259,344,522,881
FERNANDINA BEACH,112,30.67,-81.47,2.0 - LOW,0.41,0,10,21,36,52,72,96,126,159,197,239,317,480,795
FERNANDINA BEACH,112,30.67,-81.47,2.0 - HIGH,0.65,0,13,24,41,59,82,111,144,182,222,272,366,556,940
FERNANDINA BEACH,112,30.67,-81.47,2.5 - MED,0.53,0,12,24,43,63,92,126,165,209,260,319,439,672,1127
FERNANDINA BEACH,112,30.67,-81.47,2.5 - LOW,0.41,0,4,12,24,42,65,92,126,165,210,258,365,572,1019
FERNANDINA BEACH,112,30.67,-81.47,2.5 - HIGH,0.65,0,14,26,45,67,96,133,175,221,276,338,477,732,1197
TROIS-RIVIERES,126,46.33,-72.55,0.3 - MED,-2.77,0,0,1,3,4,5,6,7,7,6,5,1,-4,-14
TROIS-RIVIERES,126,46.33,-72.55,0.3 - LOW,-2.99,0,-2,-3,-3,-5,-7,-9,-11,-14,-17,-21,-24,-35,-60
TROIS-RIVIERES,126,46.33,-72.55,0.3 - HIGH,-2.55,0,2,6,8,12,16,19,21,23,24,24,24,27,29
TROIS-RIVIERES,126,46.33,-72.55,0.5 - MED,-2.77,0,2,4,6,8,11,13,16,17,18,18,19,21,24
TROIS-RIVIERES,126,46.33,-72.55,0.5 - LOW,-2.99,0,-1,0,0,0,1,2,3,3,3,2,1,-3,-18
TROIS-RIVIERES,126,46.33,-72.55,0.5 - HIGH,-2.55,0,3,8,11,16,19,24,26,29,31,32,34,44,60
TROIS-RIVIERES,126,46.33,-72.55,1.0 - MED,-2.77,0,4,9,16,22,30,40,51,62,74,86,93,131,195
TROIS-RIVIERES,126,46.33,-72.55,1.0 - LOW,-2.99,0,1,4,7,12,18,25,32,41,50,58,64,93,136
TROIS-RIVIERES,126,46.33,-72.55,1.0 - HIGH,-2.55,0,6,14,21,30,41,53,65,79,94,108,121,167,263
TROIS-RIVIERES,126,46.33,-72.55,1.5 - MED,-2.77,0,7,15,25,37,51,66,85,105,127,150,188,276,462
TROIS-RIVIERES,126,46.33,-72.55,1.5 - LOW,-2.99,0,2,5,11,18,29,39,53,67,84,101,130,190,306
TROIS-RIVIERES,126,46.33,-72.55,1.5 - HIGH,-2.55,0,9,19,30,45,61,81,103,127,153,180,237,342,572
TROIS-RIVIERES,126,46.33,-72.55,2.0 - MED,-2.77,0,9,20,34,53,75,101,129,157,192,232,314,466,799
TROIS-RIVIERES,126,46.33,-72.55,2.0 - LOW,-2.99,0,9,18,29,45,63,82,103,131,162,197,268,408,695
TROIS-RIVIERES,126,46.33,-72.55,2.0 - HIGH,-2.55,0,10,23,38,58,82,108,137,173,214,252,346,506,854
