,county_name,zip,lat,lng,city,state_name,avg_risk_score_all,MercatorX,MercatorY
0,Hampden,1001,42.06262,-72.62521,Agawam,Massachusetts,2.82,-8084601.39595456,5170364.2366516115
1,Hampshire,1002,42.37633,-72.46462,Amherst,Massachusetts,1.53,-8066724.598928067,5217519.615552221
2,Hampshire,1003,42.39135,-72.52327,Amherst,Massachusetts,1.64,-8073253.487063093,5219783.243741628
3,Worcester,1005,42.42117,-72.10655,Barre,Massachusetts,2.02,-8026864.428859721,5224278.950337949
4,Hampshire,1007,42.28163,-72.40009,Belchertown,Massachusetts,1.5,-8059541.152187179,5203260.055011255
5,Hampden,1008,42.18234,-72.95819,Blandford,Massachusetts,1.54,-8121668.559998904,5188332.346235082
6,Hampden,1009,42.21133,-72.34189,Bondsville,Massachusetts,1.96,-8053062.3578230105,5192688.407895369
7,Hampden,1010,42.12904,-72.20597,Brimfield,Massachusetts,2.08,-8037931.812634387,5180328.652038055
8,Hampden,1011,42.30233,-72.96448,Chester,Massachusetts,3.06,-8122368.759595993,5206375.1485665385
9,Hampshire,1012,42.38495,-72.84675,Chesterfield,Massachusetts,1.53,-8109263.115944901,5218818.648869767
10,Hampden,1013,42.16059,-72.60788,Chicopee,Massachusetts,1.83,-8082672.229179112,5185065.484244908
11,Hampden,1020,42.17618,-72.56538,Chicopee,Massachusetts,1.37,-8077941.150820399,5187406.996806181
12,Hampden,1022,42.19721,-72.54249,Chicopee,Massachusetts,2.24,-8075393.04767614,5190566.475259609
13,Hampshire,1026,42.46858,-72.92296,Cummington,Massachusetts,2.72,-8117746.7743382575,5231430.955260603
14,Hampshire,1027,42.29506,-72.74303,Easthampton,Massachusetts,1.47,-8097717.058359823,5205280.98698664
15,Hampden,1028,42.05967,-72.49899,East Longmeadow,Massachusetts,1.29,-8070550.649826634,5169921.915682606
16,Berkshire,1029,42.19402,-73.05067,East Otis,Massachusetts,1.55,-8131963.3865074655,5190087.1524567185
17,Hampden,1030,42.06869,-72.67967,Feeding Hills,Massachusetts,1.29,-8090663.855423162,5171274.432924739
18,Worcester,1031,42.32782,-72.19191,Gilbertville,Massachusetts,1.7,-8036366.660593834,5210212.485175689
19,Hampshire,1032,42.45313,-72.81965,Goshen,Massachusetts,1.64,-8106246.357744404,5229099.660905046
20,Hampshire,1033,42.26082,-72.50361,Granby,Massachusetts,1.57,-8071064.945874097,5200129.439223302
21,Hampden,1034,42.0826,-72.95611,Granville,Massachusetts,1.61,-8121437.015458053,5173360.565211118
